uid,train_sequence,val_item,test_item
1,"[1738452  189365  704269  985440 1738317  754568 1742864 1832686 2204810
  334090 1555330  800688 2962051 1414693  800688  800690 2023015 1977669
     243  282405 1878657 1596897 2392659 1782340 2345830 2439977   46910
 1782340  985260 1926977 2157870 2017673 2298458   47048   46896 1595680
  422539  376512 1876317 2958454 2299189 1548187 1172624 1172624 2157870
 1735642 1407224 1125605 1407224 1125605 2017673 2157870 2298458 2204919
 1735642  985669 1407224 2158225 2298458 2157870 1407224 2157870 2017673
 1125605 1735642 2158225 1735642 1923497 2347100  985669 1595034 2722694
   46910  891375 2447800 2494785 2412320  283769  283769   76480 2412320
 1221058 2447325 1595310 1595310 2110789 1970513 1970513 2110789 1970513
  198704 1139353 1464971 2816434 2863250 1876520  703394 2440766 2634315
   46910 2301897 2251705 1970522 2912572 2251589  142578 2675484 2629219
 2110756 1173503  469853 1081850 2401742   49162  938668 1876063 1172624
 1688474 1923497 1782455 1172699  515999 2722835 2110932  281905 1782455
 2298444  938698 1313531  985298 2816629  515998 1829339 1595200  469476
  141070  985481 1876155 1595204 2298709  656707 1597936 1642167 2304422
 1407186 2392659  985626 1923497 2401742 1875930 2597886 2110764 1079076
 2486911 1219226 1548004 2533809 2346112 1876063   47048  422335 2816816
 1266297     737 2441032 2158225  703217  985217 1173116 2130828 2817377
 2873033 2725191 1548792 1877326  611620 1314029  703505 2251829  609528
  703243  562336 2533833 1783365 2631210  192368  469293 2251997 1361747
 1173113  657321  143756 2534857  563373 2204930 2157899  282754  752527
 2863861  845631 2725191 2110932 1267589 2207053  659823 2347247 2581834
 2112109 2064033  703505 2299417  609752 2301259 2675498  750619 1595291
 1503255  985247  938955 2769783 2393699 1219166 1219166  250070  384466
 1423003 1552876 1595355 1313444 2205603 1877359  656523 2539067 1266453
 1597516  563372 2582702  328690  798554  657059 2536107 2346272 2487383
 1407367 2159169 1501326 1739691  704749  334444  985607  844667 2769898
  985607  844667 2581234 2722769  750642 2769898 1408286  563209 2346128
   48539 1126788  376896  517422  187893 2440162 2251753 2392604  141205
 2489089  376491 1736009 2300751  234891 2486875 2300746  190662  986057
 1595188 2958796  986059    6353 1314182 1173351 2018264 1454274  621802
   94748  987499 1032993  704240  563207  563212 1642744 2540795 1175917
 1267129 1079724 2818613    1942 2110822 1455483 2442303 1361267 2110881
  610541 2396952  471399  281679  939358  237516  424942  422686 1743087
  751826 2677825 2111505  281948  617572  425754  470056 2067430 1172627
 2115054 1461048 2876651 2865095  329714    1595  191364    3620  657325
 2629916  750985 1502040 1598147 2498031  519448  989564 2723810 1174484
 2487627 2487628 2816517 1220869 1606744 1128485 1220002 1457963  334000
 1126456 1973503 2816555 2301897  986057   49165 2440766 2018264   48513
 2911248  703299  892793 1082729 1408061   47777 1924464 2912573 2160710
 1220117  844809 2817232  986073 2114145  703883 1408105 2817201 2679924
  563749  142158 1079720  658058 1735788 1688474 1172624 1782455 1923497
 1876063 1407619 2298444 1688474 1313531  985298 1595200 2816629  938698
  515998 1829339  469476  141070 1876155  985481 1454323 1595204  656707
 2298709 1558285 1132771 2957990 1925919  988762 1081199 2440740  939324
  282526 2913799 1595011 1829131 1735650 1314275 2113643 2675533 2863941
 2253783 1877041 1973403 1877041  187916  940649 2581065 2113644  610502
 2958891 1877974  892551 2018165 2535099  800567 2630968 2961112 2581040
 1082209  612272 1691364  612272 1691364 2111878 2207148 2865141 2442851
  332115  237960  617572 1782455  659823 2298458 2723586  751826 2345830
 1131722 2305597 2774785 2299417 1737119 1501975  845629  189228 1597516
  704224 1501982  563372  515906  515999 2347216 1078913 1785340  986017
  750619 1032145 2581012 1032145 2581012 2439755 2439755   47933   47933
  751854 2064977 2533846 2205242 1134481 1454225 2533817  891396  422647
  515960 2723011  188047 1313337  844674 1454141  703852 1219331 2158041
  328720 1313639  422833 2440437  469837  845268 2111472 1126229  798470
 1829530 1407477 1126221 2770020 1032756 1454225  516394  891396  515960
 2723011  188047  422647  844674 1313337  254076  405214  123419 1223590
  827356 1061680 1419140 1858754  375407  469853 1079053 1971740 2958722
  986100 2392943 2298648 1642979 1876520 2911579 1173350 2345897  516787
  751586 2821135  750619 2489086     852 1313314  658706 2066106 2064033
 2298444 1558285 1132771  572577 1688474 1970695 1923497 1782455 1172624
  515999 2722835 1876063 2110932 2251863 1172674 1876582 1172560 1172560
 1172560 2392636 1875930 1172560 2345894 1172560 1689016   46928   46928
 1219924 2345894 1970513 2535757 2723091  234840 1829742 1314315 2675723
 2818230  424123 2823948 1501411 1877733 1313961  798670  798484  609477
  610336  941137 2066854 2112928 1219877 1454882 2534006 2111642 2112962
 1501172 1407219 1877167 2722798 2911232 2581032  563373  375433 1266268
 2300748 2629219 1548792  704226  423371 1924399 1783007   94783 1314379
 2533984  188753  797706 2299763 1173113  845116 2816435 1735808  424359
 1080358 2486768 2630091]",704632,515753
2,[ 985388  891539 2957908 ...  844684   94188  844684],94188,844684
3,[ 705471 1407515  527355 ... 2251695 1456301 1407446],2537843,1082826
4,[1688660 1219431   94740 ...  986579 2392918 1829392],1876023,234613
5,[  46896 1454701     696 ... 1970732 1970732  985649],2534495,609410
6,[2533833 2675681  750614 ... 1642244 1829157 1360333],1032098,1360333
7,"[2533833  562336 1219356 2722637 2251694  750932 1594994 2439819  234605
 2580853 1595020  656523 1266438 2251632]",1782435,2769818
8,[ 751488 1032117 1923452 ...  375571 2863450  562364],2017454,2204944
9,[ 470606 2494127 1735783 ...  426582  425687 2111264],1407259,1360743
10,[2439819 2769818  750614 ... 1735649 2534164  469251],1454131,2346185
