Model,Dropout,Learning_Rate,Optimizer,Loss,HR@10,NDCG@10
GRU4Rec,0.1,0.001,Adam,BPR,0.74762,0.6369686476368097
GRU4Rec,0.1,0.001,Adam,INFONCE,0.49894,0.4049732501146426
GRU4Rec,0.2,0.001,Adam,BPR,0.74255,0.6334722832869489
GRU4Rec,0.2,0.001,Adam,INFONCE,0.50646,0.41286247305750234
GRU4Rec,0.3,0.001,Adam,BPR,0.72492,0.6236851897711914
GRU4Rec,0.3,0.001,Adam,INFONCE,0.51513,0.42135950361257885
GRU4Rec,0.1,0.005,Adam,BPR,0.82815,0.6695491368918803
GRU4Rec,0.1,0.005,Adam,INFONCE,0.58412,0.4459479781978168
GRU4Rec,0.2,0.005,Adam,BPR,0.83263,0.6740739791316576
GRU4Rec,0.2,0.005,Adam,INFONCE,0.59255,0.45382981662998695
GRU4Rec,0.3,0.005,Adam,BPR,0.80209,0.5557679817296786
GRU4Rec,0.3,0.005,Adam,INFONCE,0.60979,0.4681605173365136
SASRec,0.1,0.001,AdamW,BPR,0.77731,0.6645070264494725
SASRec,0.1,0.001,AdamW,INFONCE,0.42212,0.30717554027662664
SASRec,0.2,0.001,AdamW,BPR,0.77322,0.6607413895644129
SASRec,0.2,0.001,AdamW,INFONCE,0.44008,0.32320093414908724
SASRec,0.3,0.001,AdamW,BPR,0.76346,0.6534873135970201
SASRec,0.3,0.001,AdamW,INFONCE,0.47407,0.34921333271826455
SASRec,0.1,0.005,AdamW,BPR,0.82163,0.6542568232271608
SASRec,0.1,0.005,AdamW,INFONCE,0.62153,0.43448949348783783
SASRec,0.2,0.005,AdamW,BPR,0.82175,0.659863894983103
SASRec,0.2,0.005,AdamW,INFONCE,0.643,0.45396093735045573
SASRec,0.3,0.005,AdamW,BPR,0.81783,0.6570248678521974
SASRec,0.3,0.005,AdamW,INFONCE,0.65334,0.46241510413910686
BERT4Rec,0.1,0.001,AdamW,BPR,0.77213,0.6595110323845319
BERT4Rec,0.1,0.001,AdamW,INFONCE,0.46872,0.34272425037249754
BERT4Rec,0.2,0.001,AdamW,BPR,0.75866,0.649598120140444
BERT4Rec,0.2,0.001,AdamW,INFONCE,0.48979,0.35869186611871134
BERT4Rec,0.3,0.001,AdamW,BPR,0.75714,0.649936646697736
BERT4Rec,0.3,0.001,AdamW,INFONCE,0.51608,0.37742382215261017
BERT4Rec,0.1,0.005,AdamW,BPR,0.81279,0.6555407883317852
BERT4Rec,0.1,0.005,AdamW,INFONCE,0.64813,0.4471423430947887
BERT4Rec,0.2,0.005,AdamW,BPR,0.81283,0.6511834078698708
BERT4Rec,0.2,0.005,AdamW,INFONCE,0.65943,0.4603988772591535
BERT4Rec,0.3,0.005,AdamW,BPR,0.79849,0.6557009185131588
BERT4Rec,0.3,0.005,AdamW,INFONCE,0.68322,0.48735767173832095
